gender,comment,talkid,videourl,tone,expertise,encouraging,respectful
female,"sadly people have not noticed the end of her talk. it carries the actual gist. if you don't feel for humaneness, you would not like to agree to this talk and construct any ways of revisiting our core practices.",1248,http://download.ted.com/talks/BunkerRoy_2011G.mp4,Strongly Positive,Non-STEM degree,Encouraging,Neutral
female,what a dreadful and terrible life. i feel pity for them and hope they could be free. what a strange world. we are in 21st century and we hear about this irrational and crazy things!,182,http://download.ted.com/talks/MairaKalman_2007.mp4,Positive,Non-STEM degree,Discouraging,Disrespectful
female,"i love listening to evelyn, she shares her understanding of sound so brilliantly. sharing her experiences as a deaf musician, she encourages us all to listen to music and ourselves differently...wonderful.",1997,http://download.ted.com/talks/KevinBriggs_2014.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
female,"jesus, what a rock star. like helen keller on cocaine and crystal meth. i was diagnosed with aspergers' when i was about 12, and i have to say that she is much more inspirational in her talks than in her writing.",1484,http://download.ted.com/talks/RaghavaKK_2012S.mp4,Strongly Positive,STEM degree,Encouraging,Respectful
female,"the one example that bothered me in an otherwise brilliant talk, was the image of dick chaney.  i'm not a big fan but i think that is just his face.  his lip is always slightly up in the corner.  either he is always contemptuous or that is his physical makeup.",1092,http://download.ted.com/talks/DebRoy_2011.mp4,Positive,Non-STEM degree,Discouraging,Disrespectful
female,she seems to be getting at social pressure in her talk. i appreciate her ideas on creativity though...,1710,http://download.ted.com/talks/FreemanHrabowski_2013.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"i agree with her, cuz dissent is a need today, before iraq war , bush did  blindly what his few experts told him to do , but they were all wrong",1250,http://download.ted.com/talks/GuyPhilippeGoldstein_2010X.mp4,Strongly Positive,Non-STEM degree,Discouraging,Disrespectful
male,glad that education didn't succeed in ruining that genius thought process of yours mr. balasubramaniam. aren't you glad you didn't get thru academics at school. you discovered your voice. we gained a thinking artist.,1359,http://download.ted.com/talks/LucienEngelen_2011X.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"1: ""and he giveth you of all that ye ask for. but if ye count the favours of allah, never will ye be able to number them. verily, man is given up to injustice and ingratitude.""",1049,http://download.ted.com/talks/JodyWilliams_2010W.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
male,"brilliant. still ....if he says it is actually cheap technology, why are they charging so much for computer interfaces such as the jazz mutant lemur & dexter, monome & tendori-on.",2071,http://download.ted.com/talks/JillShargaa_2014S.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"he has something strange in his voice, now main brains huuurts.",1321,http://download.ted.com/talks/JonasGahrStore_2011X.mp4,Negative,No Degree,Discouraging,Disrespectful
male,"saying you ""have a friend""  or making sweeping statements of any kind is unacceptable and throws doubt on your veracity.  please back up any and all claims with citations.",831,http://download.ted.com/talks/ThelmaGolden_2009.mp4,Negative,Non-STEM degree,Discouraging,Neutral
male,"i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her.",1814,http://download.ted.com/talks/AlexaMeade_2013G.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"amazing talk. the emotion attachment, that is hiding inside the internet, is yet waiting to be discovered. the world becomes so alive when you start to think, and when you start to connect. i wonder what ze would do with all the comments on his ted talks?",1332,http://download.ted.com/talks/BilalBomani_2011X.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,oh.... the spectacular irony... the car co's dragged their feet... and looky here... if they had created the market they might have a market ... now they are vanishing before our very eyes... bye bye gm. hows that for a killer sequel !,1743,http://download.ted.com/talks/JaySilver_2013S.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"his language is at the same level as the archutecture and city planning he reffers to. and of course, insult the bulgarians while you're at it... he does have a point, but the delivery is so crass...",1983,http://download.ted.com/talks/ElizabethGilbert_2014.mp4,Neutral,Non-STEM degree,Discouraging,Neutral
male,this speech is chilling to the bones. brown is abusing human suffering and people's desire to help in his afford to promoting global government and increased government control. i would not care so much if he was not the british prime minister and a significant power in international politics.,1603,http://download.ted.com/talks/HannahBrencher_2012S.mp4,Negative,Non-STEM degree,Discouraging,Neutral
male,he take a shot at iceland.  they told people who talk like him to get out of power and head to jail.  they are doing fine.  his prescription is toward disaster for real people.  that is us.,1706,http://download.ted.com/talks/DanAriely_2012X.mp4,Negative,Non-STEM degree,Discouraging,Neutral
male,"can't believe he didn't mention sex slavery, which if anything is the most despicable form of slavery and would certainly have strengthened his case and his talk even more.  overall good talk though, and very important for getting that info out there.",1462,http://download.ted.com/talks/DaliaMogahed_2012S.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"five miles a second.  hard to relate to at first.  then, a sunrise and sunset every forty five minutes....for six months.  what an incredible reward for overcoming your fears and keeping your goal in front of you.  an amazing ride he takes you through!",472,http://download.ted.com/talks/MiruKim_2008P.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo!",1370,http://download.ted.com/talks/AviRubin_2011X.mp4,Neutral,Non-STEM degree,Encouraging,Respectful
male,"ron, ,it was great meeting and engaging with you at tedxmidwest.... i appreciate your advice and words of wisdom...",724,http://download.ted.com/talks/VilayanurRamachandran_2009I.mp4,Positive,No Degree,Encouraging,Respectful
male,"amazing , amaazing may god bless you more , it is so inspiring, and touchy may you get the help you need and help more people with your work.",1575,http://download.ted.com/talks/BenGoldacre_2012P.mp4,Strongly Positive,Non-STEM degree,Encouraging,Respectful
male,i had the pleasure of hearing brother steindl-rast on kauai this winter.  his talk about gratitude was so inspiring - and so are your beautiful photographs.  it did my heart good to be reminded of this very simple act to bring joy into my life.,789,http://download.ted.com/talks/GaryLauder_2010.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"i used to think this guy was just a media hog with his stunts. this talk completely changed my mind. i still think he's a bit crazy, but you have to have serious respect for this kind of willpower. simply amazing. we need more people that are crazy-dedicated like this.",1506,http://download.ted.com/talks/ChrisGerdes_2012X.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right.",831,http://download.ted.com/talks/ThelmaGolden_2009.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
female,to kates critics: lighten up and think about what her message is. to kate: i think your cool. your critics may well ask what use is a new born baby.,1113,http://download.ted.com/talks/ChadeMengTan_2010Z.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"i shared your talk. how inspiring to reflect on the reasons that rigid perfectionism is so fatal to creativity. you gave so many lucid, cogent examples. i always take a little ted at lunchtime as food for thought. how delicious was your talk today!",447,http://download.ted.com/talks/NatalieMacMaster_2003.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"look beyond the messenger. i know many people will have a hard time seeing this woman wearing navy blue again, but her message goes beyond her own personal experience. like many ted talks, you think its going to be about one thing, but its really about something bigger.",234,http://download.ted.com/talks/KarenArmstrong_2008.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"i stopped the video when she said ""my project is about art, specifically about black artists"". if a white guy said ""my project is about art, specifically about white artists"" he would be racist.",1449,http://download.ted.com/talks/DavidKelley_2012.mp4,Negative,Non-STEM degree,Discouraging,Neutral
female,"no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track.",526,http://download.ted.com/talks/MichaelMerzenich_2004.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her.,78,http://download.ted.com/talks/AlSeckel_2004.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on.",1352,http://download.ted.com/talks/JackHorner_2010X.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,"i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video.",889,http://download.ted.com/talks/ChipConley_2010.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me.",1470,http://download.ted.com/talks/DamianPalin_2012U.mp4,Neutral,Non-STEM degree,Discouraging,Respectful
female,your reusable cloth grocery bag doesn't really matter very much when all the other food packaging that you carry home weighs tens of times as much as that flimsy little plastic carry bag you gave up.,498,http://download.ted.com/talks/JohnWooden_2001.mp4,Neutral,Non-STEM degree,Discouraging,Neutral
female,if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment.,2001,http://download.ted.com/talks/SaraLewis_2014.mp4,Neutral,Non-STEM degree,Discouraging,Respectful
female,"she has a strong personality and passion when she talks that is motivating. stay hungry, never stop dreaming, stay around with the correct people, and work your ass off. for me that's the formula to succes in everything you want so bad.",526,http://download.ted.com/talks/MichaelMerzenich_2004.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"i too was a little sceptical at first, i thought the intro was a little cheesy, but when she knuckled down and started revealing her message it turned out to be one of the best talks ive seen! favourited.",889,http://download.ted.com/talks/ChipConley_2010.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on.",1715,http://download.ted.com/talks/JoshuaPrager_2013.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
female,she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works.,1670,http://download.ted.com/talks/KeithChen_2012G.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"total flop. i think i would've liked a little history about the people she spoke of. i knew none of them or anything about them; or her. i did like the broken japanese vase, and her unbroken one. i also liked her mentioning of the void!",797,http://download.ted.com/talks/EricDishman_2009P.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
